time,ax,ay,az,aT
2.0460,-0.1159,-0.0211,-0.7658,0.775
2.0520,-0.1684,0.1179,-0.0047,0.206
2.0530,-0.3675,0.0160,0.6766,0.770
2.0550,-0.2187,-0.0131,0.6924,0.726
2.0680,-0.1213,0.0206,0.1519,0.195
2.0860,-0.1634,0.0497,-0.4421,0.474
2.0870,0.0005,0.0891,-0.6395,0.646
2.1220,0.2397,0.1069,-0.6586,0.709
2.1230,0.2948,0.0661,-0.6400,0.708
2.1240,0.3960,0.0567,-0.2941,0.497
2.1250,0.5068,-0.0095,0.3144,0.596
2.1260,0.5490,-0.0021,0.6514,0.852
2.1330,0.2261,-0.0034,0.7721,0.805
2.1430,-0.0069,-0.0276,0.7171,0.718
2.1500,-0.1237,-0.0125,0.6179,0.630
2.1540,-0.1435,-0.0099,0.3796,0.406
2.1680,0.1705,-0.0104,0.2639,0.314
2.1740,0.5938,0.0354,0.3171,0.674
2.1790,0.7716,0.0358,0.2118,0.801
2.1900,0.6451,0.0164,-0.0870,0.651
2.2160,0.2062,0.0426,-0.2487,0.326
2.2210,-0.3889,1.1341,0.0896,1.202
2.2250,0.1389,-0.6726,-0.1572,0.705
2.2260,0.0424,-0.2325,0.7454,0.782
2.2290,0.5831,-0.1144,1.1174,1.266
2.2410,0.5732,0.2968,1.3386,1.486
2.2500,0.6337,0.8234,1.3334,1.690
2.2550,0.1374,-0.8256,-0.0455,0.838
2.2660,-0.5001,-0.0379,-0.3108,0.590
2.2740,-0.7140,-0.1985,-0.8822,1.152
2.2790,-0.5052,0.0175,-0.9595,1.085
2.2900,0.0983,0.2848,-0.9804,1.026
2.3020,-0.3980,-0.0487,-0.9085,0.993
2.3040,-0.1339,0.0301,-0.5993,0.615
2.3170,-0.0470,0.0688,-0.3887,0.398
2.3260,-0.2929,0.0454,-0.4504,0.539
2.3300,-0.4486,0.0371,-0.3995,0.602
2.3400,-0.4176,0.0468,-0.2430,0.485
2.3730,-0.4345,0.0307,-0.2599,0.507
2.3750,-0.2414,0.0110,-0.2637,0.358
2.3760,0.2289,-0.0017,-0.1157,0.256
2.3770,0.3277,-0.0041,0.0724,0.336
2.4060,0.2344,-0.0579,0.1348,0.277
2.4070,0.3821,-0.0489,0.1723,0.422
2.4080,0.5469,-0.0476,0.2511,0.604
2.4090,0.4988,-0.0379,0.2802,0.573
2.4190,0.3257,-0.0157,0.3096,0.450
2.4220,0.2743,0.0110,0.3723,0.463
2.4300,0.2622,0.0084,0.4019,0.480
2.4400,0.1681,-0.0204,0.3802,0.416
2.4440,0.0425,-0.0324,0.2864,0.291
2.4580,-0.0470,-0.0121,0.1803,0.187
2.4760,-0.1978,-0.0350,0.0651,0.211
2.5230,0.0178,-0.0115,0.0515,0.056
2.5240,0.1847,0.0312,-0.1421,0.235
2.5250,0.0311,0.0597,-0.4414,0.447
2.5260,0.0916,0.0800,-0.5069,0.521
2.5280,0.1497,0.0640,-0.4615,0.489
2.5330,0.3543,0.0794,-0.2348,0.432
2.5340,0.3913,0.0921,-0.0879,0.411
2.5370,0.2034,0.0568,-0.0157,0.212
2.5400,0.1129,0.0540,0.1599,0.203
2.5460,0.0096,0.0151,0.2849,0.285
2.5540,-0.0899,-0.0380,0.3487,0.362
2.5660,-0.1727,-0.0692,0.3643,0.409
2.5700,-0.2338,-0.1107,0.3268,0.417
2.5800,-0.1961,-0.1158,0.3058,0.381
2.5900,-0.0808,-0.0793,0.2293,0.256
2.5940,-0.0577,-0.0973,0.1920,0.223
2.6040,0.2023,-0.0512,0.2768,0.347
2.6350,0.4123,0.0130,0.2445,0.479
2.6360,0.3652,0.0225,0.1409,0.392
2.6370,0.2314,0.0215,0.0096,0.233
2.6470,0.0497,0.0254,-0.1013,0.116
2.6480,-0.0604,0.0447,-0.1975,0.211
2.6650,-0.0707,0.0633,-0.2901,0.305
2.6660,-0.0900,0.0626,-0.3078,0.327
2.6700,-0.0466,0.0445,-0.2540,0.262
2.6830,0.0132,0.0426,-0.2409,0.245
2.6900,-0.0139,0.0347,-0.2551,0.258
2.6970,-0.0932,0.0146,-0.2934,0.308
2.7050,-0.1352,-0.0105,-0.3367,0.363
2.7180,0.0225,-0.0072,-0.2207,0.222
2.7200,0.2289,0.0096,-0.0048,0.229
2.7300,0.2950,-0.0048,0.1715,0.341
2.7400,0.3196,-0.0022,0.2690,0.418
2.7450,0.2245,-0.0014,0.3509,0.417
2.7580,0.0934,0.0001,0.2594,0.276
2.7820,0.0232,0.0102,0.0940,0.097
2.7830,-0.0358,0.0222,-0.0482,0.064
2.7840,-0.0458,0.0265,-0.1273,0.138
2.7850,-0.0376,0.0215,-0.2458,0.250
2.7950,-0.0568,0.0272,-0.3097,0.316
2.8050,-0.0029,0.0343,-0.2182,0.221
2.8090,0.0851,0.0385,-0.1023,0.139
2.8200,0.0520,0.0208,-0.0299,0.063
2.8300,0.0394,0.0062,-0.0127,0.042
2.8350,0.0956,-0.0075,0.0151,0.097
2.8450,0.0911,-0.0188,0.0545,0.108
2.8550,0.1098,-0.0254,0.1185,0.164
2.8600,0.1122,-0.0070,0.1885,0.220
2.8740,0.1293,0.0308,0.3191,0.346
2.8800,0.1186,0.0374,0.2634,0.291
2.9080,0.1312,0.0476,0.1449,0.201
2.9090,0.1221,0.0385,0.0212,0.130
2.9100,0.0296,-0.0096,-0.1014,0.106
2.9110,-0.0619,-0.0147,-0.1684,0.180
2.9200,-0.0354,-0.0258,-0.1789,0.184
2.9300,0.0441,-0.0722,-0.0775,0.115
2.9360,0.1671,-0.0934,0.0970,0.215
2.9460,0.2420,-0.0692,0.1189,0.278
2.9560,0.4364,0.0068,0.0525,0.440
2.9600,0.0383,0.0450,0.0416,0.072
2.9710,0.1342,0.0822,-0.0520,0.166
2.9860,0.2207,0.1300,-0.0332,0.258
2.9870,-0.1487,0.0338,-0.1726,0.230
2.9950,-0.1461,-0.0057,-0.2134,0.259
3.0050,0.0183,-0.0159,-0.1182,0.121
3.0100,0.2112,0.0242,-0.0108,0.213
3.0280,0.1046,-0.0038,0.0001,0.105
3.0310,0.0753,-0.0138,0.0041,0.077
3.0720,0.0391,-0.0367,-0.0277,0.060
3.0740,0.0073,-0.0428,-0.0263,0.051
3.0750,0.1427,-0.0348,0.0177,0.148
3.0760,0.1245,-0.0292,0.1197,0.175
3.0770,-0.0835,-0.0681,0.1517,0.186
3.0810,0.2648,0.0074,0.2440,0.360
3.0860,0.2664,0.0359,0.2922,0.397
3.0950,-0.4555,-0.1014,0.1776,0.499
3.1060,0.1793,0.0157,0.1188,0.216
3.1100,-0.0579,0.0027,0.0475,0.075
3.1220,-0.7813,-0.1383,-0.0837,0.798
3.1300,0.0305,-0.0035,-0.0941,0.099
3.1360,1.0012,0.0917,-0.1054,1.011
3.1450,0.2814,0.0404,-0.1843,0.339
3.1700,-0.3986,-0.1588,0.0385,0.431
3.1720,0.1227,-0.0819,0.2702,0.308
3.1730,0.1108,-0.1120,0.2431,0.290
3.1750,0.0023,-0.1223,0.1090,0.164
3.2070,0.4807,-0.0292,0.0182,0.482
3.2080,0.0248,-0.0964,0.1280,0.162
3.2090,-0.2672,-0.1733,0.0625,0.325
3.2100,0.1675,-0.0228,-0.0461,0.175
3.2250,0.2342,0.0610,-0.3801,0.451
3.2270,1.1428,0.4695,-0.7128,1.426
3.2360,-0.5743,-0.2269,-0.2497,0.666
3.2470,-0.3905,-0.0115,-0.1552,0.420
3.2540,0.1512,0.1403,-0.0008,0.206
3.2600,0.3834,0.2977,-0.0491,0.488
3.2710,-0.6548,-0.1168,0.1333,0.678
3.2770,0.0481,0.0404,0.0885,0.109
3.2940,0.2283,0.0631,-0.1333,0.272
3.2960,0.1092,0.0405,-0.2702,0.294
3.3060,0.1261,0.0651,-0.1665,0.219
3.3260,0.1295,0.0389,0.0207,0.137
3.3270,0.2263,0.0345,0.1113,0.255
3.3270,0.2312,0.0209,0.1229,0.263
3.3360,0.2046,0.0177,0.2701,0.339
3.3460,0.1137,0.0006,0.3908,0.407
3.3540,0.0808,0.0056,0.4235,0.431
3.3600,0.0714,0.0041,0.4202,0.426
3.3710,0.0462,0.0020,0.3454,0.348
3.3760,0.0338,-0.0007,0.2395,0.242
3.3860,0.1011,0.0066,0.1456,0.177
